<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBERP;D;20110610;000000;73.8000000;74.0200000;72.4100000;72.6900000;20214600
SBERP;D;20110614;000000;73.2000000;73.5000000;72.5500000;72.9700000;9539100
SBERP;D;20110615;000000;72.9500000;73.1500000;71.7500000;71.8700000;19149300
SBERP;D;20110616;000000;71.1900000;71.9100000;70.6700000;71.7700000;13840700
SBERP;D;20110617;000000;71.4900000;74.3500000;70.5600000;73.3500000;38474900
SBERP;D;20110620;000000;72.9100000;73.4900000;71.5500000;71.6100000;13815200
SBERP;D;20110621;000000;72.0800000;72.4600000;71.6000000;71.9000000;12317700
SBERP;D;20110622;000000;72.0000000;72.0900000;70.9500000;71.3200000;12001900
SBERP;D;20110623;000000;70.7700000;72.2900000;70.5400000;71.1800000;14787000
SBERP;D;20110624;000000;71.9100000;73.6600000;71.7200000;73.2300000;24598300
SBERP;D;20110627;000000;72.8000000;74.2200000;72.6500000;74.0300000;17259600
SBERP;D;20110628;000000;74.0300000;75.3500000;73.7000000;75.2700000;20639300
SBERP;D;20110629;000000;75.2000000;75.7400000;74.2800000;75.3100000;18962000
SBERP;D;20110630;000000;75.4000000;75.6500000;74.7600000;75.1000000;16117200
SBERP;D;20110701;000000;75.2900000;79.3000000;74.8100000;78.9600000;52691500
SBERP;D;20110704;000000;79.0600000;80.2800000;78.5500000;80.0200000;33986900
SBERP;D;20110705;000000;80.0000000;81.3500000;79.4600000;80.1900000;28779400
SBERP;D;20110706;000000;80.5000000;81.0000000;79.1200000;80.3000000;16206800
SBERP;D;20110707;000000;80.7000000;82.4500000;80.6000000;82.4000000;35432100
SBERP;D;20110708;000000;82.0000000;82.7800000;80.3500000;80.8500000;29689700
SBERP;D;20110711;000000;80.5500000;80.7700000;78.5500000;79.5000000;19494000
SBERP;D;20110712;000000;78.0000000;80.8500000;77.9000000;80.8000000;22511600
SBERP;D;20110713;000000;81.0000000;81.8000000;80.0800000;81.6900000;27566300
SBERP;D;20110714;000000;81.1100000;82.4800000;81.0200000;81.5400000;19153300
SBERP;D;20110715;000000;81.1200000;82.2700000;80.7000000;81.8500000;19636800
SBERP;D;20110718;000000;81.6100000;81.9200000;79.5600000;79.9500000;17738800
SBERP;D;20110719;000000;80.0500000;80.8800000;79.9500000;80.5000000;13956800
SBERP;D;20110720;000000;81.0000000;81.3000000;80.2200000;80.2500000;10494300
SBERP;D;20110721;000000;80.3900000;82.1500000;79.2300000;82.0100000;16506100
SBERP;D;20110722;000000;82.1500000;82.7500000;81.4500000;81.5800000;14599400
SBERP;D;20110725;000000;80.9800000;81.9400000;79.5800000;81.8500000;12507400
SBERP;D;20110726;000000;81.8700000;82.1800000;81.2000000;81.8400000;11263900
SBERP;D;20110727;000000;81.8100000;83.4500000;81.6000000;82.4800000;22412200
SBERP;D;20110728;000000;82.0500000;83.6000000;81.7000000;83.5300000;20469500
