<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USD000000TOD;D;20160114;000000;77.0000000;77.0000000;76.1550000;76.4400000;1686910000
USD000000TOD;D;20160115;000000;76.6000000;77.7220000;76.3400000;77.3820000;1978572000
USD000000TOD;D;20160119;000000;78.8940000;78.9100000;78.0520000;78.6020000;1713358000
USD000000TOD;D;20160120;000000;79.2690000;81.0500000;79.1550000;80.7110000;2410248000
USD000000TOD;D;20160121;000000;81.7640000;85.9920000;81.7640000;83.7640000;2842694000
USD000000TOD;D;20160122;000000;80.9330000;81.4100000;78.6130000;79.1490000;2550200000
USD000000TOD;D;20160125;000000;77.2680000;80.1300000;76.2310000;79.6000000;3399045000
USD000000TOD;D;20160126;000000;81.4600000;82.2700000;78.5100000;78.8410000;2734595000
USD000000TOD;D;20160127;000000;78.4000000;79.4530000;77.8140000;78.3400000;2109685000
USD000000TOD;D;20160128;000000;77.9500000;78.0960000;75.5550000;75.6100000;2258736000
USD000000TOD;D;20160129;000000;75.3000000;76.5200000;74.5060000;75.2560000;2368027000
USD000000TOD;D;20160201;000000;75.5010000;76.6940000;75.4310000;76.2860000;1597770000
USD000000TOD;D;20160202;000000;78.1200000;79.8130000;77.6470000;79.3590000;2184328000
USD000000TOD;D;20160203;000000;79.1000000;79.8680000;77.8770000;78.0180000;1901111000
USD000000TOD;D;20160204;000000;77.1000000;77.2920000;75.7170000;76.2100000;1981894000
USD000000TOD;D;20160205;000000;76.8000000;77.5900000;76.2830000;77.1780000;1775078000
USD000000TOD;D;20160208;000000;77.0000000;77.5000000;76.3530000;77.2020000;1435072000
USD000000TOD;D;20160209;000000;79.1900000;79.2550000;78.0600000;78.7200000;1812486000
USD000000TOD;D;20160210;000000;79.4710000;79.5600000;78.5230000;78.9300000;1586118000
USD000000TOD;D;20160211;000000;79.0330000;80.6100000;78.7000000;80.0600000;1882423000
USD000000TOD;D;20160212;000000;79.1510000;79.6920000;79.0110000;79.1990000;1600399000
USD000000TOD;D;20160216;000000;76.3310000;77.8340000;75.8760000;77.4540000;2191330000
USD000000TOD;D;20160217;000000;77.9480000;78.3000000;76.2520000;76.3880000;1539813000
USD000000TOD;D;20160218;000000;75.0700000;75.8380000;74.8700000;75.5000000;1999424000
USD000000TOD;D;20160219;000000;76.4530000;77.4810000;75.9150000;77.2150000;1558572000
USD000000TOD;D;20160224;000000;76.4200000;77.4090000;75.9750000;77.2160000;1992659000
USD000000TOD;D;20160225;000000;76.0500000;76.6650000;75.5550000;75.8400000;1964607000
USD000000TOD;D;20160226;000000;75.5300000;75.5810000;74.4460000;74.7000000;2387688000
USD000000TOD;D;20160229;000000;75.4500000;76.2700000;75.4500000;75.7050000;1580787000
USD000000TOD;D;20160301;000000;74.4400000;74.9990000;73.5500000;73.8240000;1814875000
USD000000TOD;D;20160302;000000;73.2400000;74.1400000;73.1430000;73.8930000;1378981000
USD000000TOD;D;20160303;000000;73.3000000;74.0720000;73.2440000;73.8100000;1366104000
USD000000TOD;D;20160304;000000;72.9130000;73.3390000;72.4870000;72.5120000;1334924000
USD000000TOD;D;20160309;000000;72.0000000;72.6480000;71.5900000;71.6600000;1393415000
USD000000TOD;D;20160310;000000;71.0610000;71.3300000;69.9250000;70.7150000;2059785000
