<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AFKS;D;20100722;000000;26.3800000;26.6500000;26.3030000;26.6000000;363600
AFKS;D;20100723;000000;26.9100000;27.1000000;26.0000000;26.0400000;1523800
AFKS;D;20100726;000000;26.1680000;26.6400000;26.1670000;26.5000000;830000
AFKS;D;20100727;000000;26.5000000;27.4500000;26.4500000;26.8100000;1814600
AFKS;D;20100728;000000;26.7770000;27.1980000;26.3050000;26.3200000;120500
AFKS;D;20100729;000000;26.3680000;26.5950000;25.6870000;26.4300000;538400
AFKS;D;20100730;000000;26.2500000;26.4300000;25.9510000;26.1780000;353800
AFKS;D;20100802;000000;26.3790000;26.6900000;26.3790000;26.6500000;1182500
AFKS;D;20100803;000000;26.8000000;26.8000000;26.3100000;26.4220000;285900
AFKS;D;20100804;000000;26.3790000;26.9860000;26.1510000;26.7980000;1560400
AFKS;D;20100805;000000;27.0990000;27.7130000;26.9400000;27.4520000;1879600
AFKS;D;20100806;000000;27.7140000;28.1200000;27.2690000;27.7000000;2795200
AFKS;D;20100809;000000;27.9490000;28.0000000;27.4210000;27.6780000;1026800
AFKS;D;20100810;000000;27.4070000;27.6030000;27.0800000;27.2010000;280200
AFKS;D;20100811;000000;27.0000000;27.1410000;26.7000000;26.7650000;552200
AFKS;D;20100812;000000;27.0000000;27.1000000;26.6490000;26.8430000;302700
AFKS;D;20100813;000000;27.1790000;27.3000000;26.8000000;26.8690000;188000
AFKS;D;20100816;000000;27.0030000;27.2990000;26.4030000;26.6500000;387700
AFKS;D;20100817;000000;26.6550000;27.2700000;26.5530000;26.6790000;684900
AFKS;D;20100818;000000;26.9980000;27.4900000;26.7420000;26.7550000;335000
AFKS;D;20100819;000000;27.1490000;27.1490000;26.9000000;26.9050000;188900
AFKS;D;20100820;000000;26.8400000;26.9800000;26.4400000;26.5500000;206500
AFKS;D;20100823;000000;26.6000000;26.6000000;26.4000000;26.5000000;211100
AFKS;D;20100824;000000;26.2510000;26.7500000;26.0000000;26.1100000;826500
AFKS;D;20100825;000000;26.1500000;26.2990000;25.8020000;26.0000000;791400
AFKS;D;20100826;000000;26.3200000;26.3200000;25.7950000;25.8490000;678000
AFKS;D;20100827;000000;25.8860000;25.8990000;25.5720000;25.6900000;538200
AFKS;D;20100830;000000;25.9990000;26.4000000;25.8400000;26.1000000;2189500
AFKS;D;20100831;000000;25.9870000;26.1000000;25.8000000;26.0700000;226800
AFKS;D;20100901;000000;26.1520000;26.2860000;25.9110000;26.1980000;337800
AFKS;D;20100902;000000;26.2020000;26.3500000;25.9500000;26.0000000;711100
AFKS;D;20100903;000000;26.1380000;26.9000000;26.0020000;26.5000000;1228700
AFKS;D;20100906;000000;26.8930000;26.8990000;26.6000000;26.6500000;259300
AFKS;D;20100907;000000;26.6010000;26.7500000;26.2000000;26.5990000;447000
AFKS;D;20100908;000000;26.4100000;26.8400000;26.4100000;26.8000000;532100
AFKS;D;20100909;000000;26.9200000;27.2000000;26.7000000;26.8790000;1801500
AFKS;D;20100910;000000;26.9080000;26.9190000;26.5000000;26.6390000;1327000
AFKS;D;20100913;000000;26.9130000;27.0000000;26.5150000;26.6200000;482100
AFKS;D;20100914;000000;26.4000000;26.6000000;26.0180000;26.4400000;262400
AFKS;D;20100915;000000;26.4420000;26.7450000;26.1200000;26.7250000;427100
AFKS;D;20100916;000000;26.5020000;27.0000000;26.2130000;26.3920000;613700
AFKS;D;20100917;000000;26.6000000;27.2980000;26.3920000;26.5000000;1545400
AFKS;D;20100920;000000;26.7850000;26.9880000;26.3920000;26.5500000;385300
AFKS;D;20100921;000000;26.6250000;27.2900000;26.5380000;26.9770000;908100
AFKS;D;20100922;000000;26.9010000;27.0010000;26.6510000;26.6510000;167400
AFKS;D;20100923;000000;26.9950000;27.0000000;26.1000000;26.4880000;183200
AFKS;D;20100924;000000;26.3850000;26.8190000;26.2530000;26.5690000;233700
AFKS;D;20100927;000000;26.9000000;27.2000000;26.4000000;26.4040000;798500
AFKS;D;20100928;000000;26.6910000;27.1300000;26.4250000;26.7500000;1775200
AFKS;D;20100929;000000;26.9880000;27.9440000;26.9150000;27.8000000;2531300
AFKS;D;20100930;000000;27.9000000;27.9580000;27.4000000;27.8950000;2537000
AFKS;D;20101001;000000;27.7150000;27.8500000;27.3480000;27.4000000;945400
AFKS;D;20101004;000000;27.7000000;27.7990000;27.2000000;27.2500000;717500
AFKS;D;20101005;000000;27.2500000;27.3810000;26.9760000;27.0700000;1037500
AFKS;D;20101006;000000;27.1810000;27.3990000;26.9100000;26.9990000;612300
AFKS;D;20101007;000000;27.0000000;27.1210000;26.8450000;26.9000000;331600
AFKS;D;20101008;000000;26.8030000;27.1500000;26.5110000;27.1500000;430100
AFKS;D;20101011;000000;27.2000000;27.2300000;26.8100000;26.8100000;433000
AFKS;D;20101012;000000;26.8000000;26.9000000;26.5500000;26.6800000;466500
AFKS;D;20101013;000000;26.9150000;27.2000000;26.8720000;27.1780000;1111200
AFKS;D;20101014;000000;27.1870000;27.3600000;26.6200000;26.7000000;616300
AFKS;D;20101015;000000;26.6610000;26.8160000;26.4100000;26.6000000;682300
AFKS;D;20101018;000000;26.4100000;26.9500000;26.2020000;26.8490000;709300
AFKS;D;20101019;000000;26.8480000;27.1750000;26.3500000;26.5110000;791400
AFKS;D;20101020;000000;26.4120000;26.6990000;26.2880000;26.4500000;148700
AFKS;D;20101021;000000;26.4130000;27.0500000;26.3020000;26.8900000;2354800
AFKS;D;20101022;000000;26.9490000;26.9490000;26.4970000;26.6410000;362500
AFKS;D;20101025;000000;26.9200000;27.1000000;26.5040000;27.0000000;848800
AFKS;D;20101026;000000;26.9950000;27.5460000;26.6520000;27.1760000;792200
AFKS;D;20101027;000000;26.9250000;27.3500000;26.7050000;27.0000000;330000
AFKS;D;20101028;000000;27.0100000;27.3200000;26.9000000;26.9000000;736300
AFKS;D;20101029;000000;27.1870000;27.2770000;26.9500000;27.1910000;408300
AFKS;D;20101101;000000;27.2880000;27.3200000;27.1000000;27.2600000;732700
AFKS;D;20101102;000000;27.2890000;27.4600000;27.0820000;27.4000000;573300
AFKS;D;20101103;000000;27.4880000;27.5900000;27.0700000;27.2000000;958100
AFKS;D;20101108;000000;27.6200000;27.7380000;26.9000000;27.0200000;1040100
AFKS;D;20101109;000000;27.0100000;27.2960000;27.0100000;27.1510000;1031400
AFKS;D;20101110;000000;27.1100000;27.2750000;26.9300000;27.1720000;942500
AFKS;D;20101111;000000;27.1200000;27.2790000;26.6200000;27.0000000;711900
AFKS;D;20101112;000000;27.0000000;27.1660000;26.6500000;26.8380000;225300
AFKS;D;20101113;000000;26.9300000;27.0010000;26.5210000;26.7000000;640300
AFKS;D;20101115;000000;26.8700000;27.0600000;26.6000000;26.7570000;778100
AFKS;D;20101116;000000;26.5570000;26.8430000;26.4510000;26.4980000;383800
AFKS;D;20101117;000000;26.4950000;26.8000000;26.3000000;26.3210000;537800
AFKS;D;20101118;000000;26.5000000;26.6000000;26.3660000;26.5800000;365900
AFKS;D;20101119;000000;26.5800000;26.5800000;26.3500000;26.4500000;373200
AFKS;D;20101122;000000;26.5610000;26.5890000;26.3050000;26.3530000;504700
AFKS;D;20101123;000000;26.3530000;26.4600000;26.1200000;26.1230000;514200
AFKS;D;20101124;000000;26.3000000;26.5450000;26.2000000;26.5000000;738200
AFKS;D;20101125;000000;26.5000000;26.5470000;26.3200000;26.3940000;979100
AFKS;D;20101126;000000;26.3940000;26.4000000;26.1300000;26.2030000;751400
AFKS;D;20101129;000000;26.3640000;26.4970000;26.0700000;26.1400000;860500
AFKS;D;20101130;000000;26.2000000;26.4500000;26.1200000;26.3010000;822900
AFKS;D;20101201;000000;26.2940000;26.4360000;26.2250000;26.3400000;1088700
AFKS;D;20101202;000000;26.4800000;26.5530000;26.2200000;26.4000000;3035800
AFKS;D;20101203;000000;26.4940000;26.7940000;26.3350000;26.5990000;4296900
AFKS;D;20101206;000000;26.5000000;26.6900000;26.4100000;26.4990000;1872300
AFKS;D;20101207;000000;26.5500000;26.6250000;26.1500000;26.2920000;2080100
AFKS;D;20101208;000000;26.1660000;26.5000000;26.0500000;26.1990000;963900
AFKS;D;20101209;000000;26.2400000;26.4500000;26.0000000;26.1200000;1173500
AFKS;D;20101210;000000;26.1800000;26.2800000;25.7580000;26.0890000;819700
AFKS;D;20101213;000000;26.1000000;26.2190000;25.9100000;26.0000000;864000
AFKS;D;20101214;000000;26.0500000;26.0760000;25.7000000;25.7990000;1142900
AFKS;D;20101215;000000;25.7990000;25.9650000;25.6500000;25.7450000;1967200
AFKS;D;20101216;000000;25.7500000;25.8300000;25.6130000;25.6400000;1402100
AFKS;D;20101217;000000;25.7010000;25.7690000;25.5910000;25.6850000;816200
AFKS;D;20101220;000000;25.7000000;26.1900000;25.5500000;25.7630000;2734000
AFKS;D;20101221;000000;25.8130000;27.1020000;25.8130000;26.8300000;3882300
AFKS;D;20101222;000000;26.9980000;27.0900000;26.6000000;26.7780000;1170200
AFKS;D;20101223;000000;26.7780000;26.9010000;26.5000000;26.7600000;1228500
AFKS;D;20101224;000000;26.5840000;27.1900000;26.4050000;26.7100000;2092600
AFKS;D;20101227;000000;26.7990000;27.1830000;26.5110000;26.7000000;666900
AFKS;D;20101228;000000;26.6980000;26.8450000;26.5620000;26.8000000;402500
AFKS;D;20101229;000000;26.8900000;27.2700000;26.8310000;27.1520000;1460300
AFKS;D;20101230;000000;27.2500000;27.2700000;26.9000000;27.2490000;1015500
AFKS;D;20110111;000000;27.3580000;27.7480000;27.1010000;27.5500000;1158500
AFKS;D;20110112;000000;27.7490000;28.1000000;27.6000000;28.0490000;1078200
AFKS;D;20110113;000000;28.1000000;28.2980000;27.7400000;27.8300000;1518300
AFKS;D;20110114;000000;27.8320000;28.0000000;27.5500000;27.7000000;1569500
AFKS;D;20110117;000000;27.8690000;28.2500000;27.6120000;28.1600000;1599100
AFKS;D;20110118;000000;28.1580000;28.2500000;27.7500000;27.9000000;2012600
AFKS;D;20110119;000000;28.0930000;29.3600000;28.0930000;29.0050000;7987000
AFKS;D;20110120;000000;28.5020000;29.1490000;28.5010000;29.0030000;2379400
AFKS;D;20110121;000000;28.9980000;29.4940000;28.9980000;29.4770000;1446600
AFKS;D;20110124;000000;29.4220000;29.5000000;28.6000000;29.2920000;2393900
AFKS;D;20110125;000000;29.0060000;29.1800000;28.7500000;28.9600000;821000
AFKS;D;20110126;000000;29.0900000;29.2490000;28.9000000;28.9180000;2060500
AFKS;D;20110127;000000;29.1880000;29.1900000;28.5010000;28.6000000;832900
AFKS;D;20110128;000000;28.6970000;28.6970000;28.3000000;28.3000000;1466800
AFKS;D;20110131;000000;28.1500000;28.2870000;27.6770000;27.9000000;1120500
AFKS;D;20110201;000000;28.0000000;28.8500000;27.9900000;28.8000000;484700
AFKS;D;20110202;000000;28.5020000;29.2440000;28.5020000;28.8600000;2139400
AFKS;D;20110203;000000;28.9980000;29.1000000;28.5610000;28.6320000;1344200
AFKS;D;20110204;000000;28.9750000;29.7500000;28.8650000;29.5800000;5835100
AFKS;D;20110207;000000;29.6980000;29.9490000;29.4990000;29.5000000;3222800
AFKS;D;20110208;000000;29.3330000;29.7500000;28.4000000;28.4020000;1498000
AFKS;D;20110209;000000;28.6980000;28.6980000;27.8220000;28.2000000;2093300
AFKS;D;20110210;000000;28.1970000;28.1970000;27.6000000;27.7510000;697600
AFKS;D;20110211;000000;27.6130000;28.2500000;27.6100000;28.0900000;666200
AFKS;D;20110214;000000;28.2890000;28.9900000;28.2800000;28.2800000;883000
AFKS;D;20110215;000000;28.2980000;28.4700000;28.0000000;28.0100000;405400
AFKS;D;20110216;000000;28.2980000;28.4000000;28.0000000;28.3010000;516800
AFKS;D;20110217;000000;28.2630000;28.8990000;28.2510000;28.8980000;714800
AFKS;D;20110218;000000;28.8900000;30.4600000;28.8900000;29.7510000;9585800
AFKS;D;20110221;000000;29.8980000;30.1000000;29.6500000;29.9000000;1846100
AFKS;D;20110222;000000;29.5030000;29.7500000;29.1230000;29.2750000;2337200
AFKS;D;20110224;000000;29.1280000;29.3060000;28.6000000;28.7000000;960700
AFKS;D;20110225;000000;28.8000000;29.6000000;28.8000000;29.5000000;1732400
AFKS;D;20110228;000000;29.5510000;29.9740000;29.0450000;29.8730000;2630200
AFKS;D;20110301;000000;30.0990000;30.0990000;29.3000000;29.4760000;2425000
AFKS;D;20110302;000000;29.1320000;29.8500000;29.0210000;29.7480000;3045900
AFKS;D;20110303;000000;29.5550000;30.9500000;29.5190000;30.9500000;7225900
AFKS;D;20110304;000000;30.9000000;32.1100000;30.9000000;31.1970000;11668800
AFKS;D;20110305;000000;31.1490000;31.7300000;31.1490000;31.5500000;1706900
AFKS;D;20110309;000000;31.5500000;32.1990000;31.5500000;32.0000000;4059100
AFKS;D;20110310;000000;31.9990000;32.0000000;31.2030000;31.7000000;6953500
AFKS;D;20110311;000000;31.5800000;32.0000000;30.9990000;31.6150000;3743500
AFKS;D;20110314;000000;31.1300000;33.3500000;30.8340000;33.2500000;5651000
AFKS;D;20110315;000000;32.2690000;32.9970000;30.8350000;32.0000000;7757500
AFKS;D;20110316;000000;32.4350000;32.9000000;31.2810000;32.3000000;6603100
AFKS;D;20110317;000000;32.2500000;33.2500000;31.7000000;33.0700000;10484600
AFKS;D;20110318;000000;33.1500000;33.3700000;32.4560000;33.2020000;8823900
AFKS;D;20110321;000000;33.2900000;34.5990000;33.2900000;34.2000000;7781000
AFKS;D;20110322;000000;34.2000000;34.7900000;33.3980000;33.9600000;5057600
AFKS;D;20110323;000000;33.9600000;34.9900000;33.9000000;34.6000000;4808800
AFKS;D;20110324;000000;34.6300000;35.3500000;34.2800000;35.1380000;2538200
AFKS;D;20110325;000000;35.1000000;35.4030000;34.4100000;35.2990000;1560000
AFKS;D;20110328;000000;35.4000000;35.4990000;34.9990000;35.1510000;1576000
AFKS;D;20110329;000000;35.1000000;35.3980000;34.5050000;34.9520000;2694600
AFKS;D;20110330;000000;35.0800000;35.0800000;34.1020000;34.8000000;2522600
AFKS;D;20110331;000000;34.7690000;34.7690000;33.5520000;34.0000000;2060100
AFKS;D;20110401;000000;34.0010000;35.2000000;34.0000000;35.0090000;2046500
AFKS;D;20110404;000000;35.0380000;35.8500000;35.0090000;35.5000000;851500
AFKS;D;20110405;000000;35.5370000;35.6910000;35.1310000;35.3500000;728800
AFKS;D;20110406;000000;35.4880000;35.5080000;35.2210000;35.5000000;342300
AFKS;D;20110407;000000;35.4790000;35.8210000;35.3990000;35.4490000;2092600
AFKS;D;20110408;000000;35.5470000;36.4820000;35.0500000;35.0500000;3533900
AFKS;D;20110411;000000;35.2070000;35.2490000;34.5410000;34.7500000;4451800
AFKS;D;20110412;000000;34.3850000;34.4500000;33.7770000;33.8520000;1189600
AFKS;D;20110413;000000;33.7720000;34.6880000;33.5600000;34.6880000;972100
AFKS;D;20110414;000000;34.7000000;34.9500000;32.7360000;32.9000000;1292600
AFKS;D;20110415;000000;32.9600000;33.2500000;31.6700000;32.0000000;1536400
AFKS;D;20110418;000000;32.3070000;32.7390000;31.0000000;31.0000000;2488000
AFKS;D;20110419;000000;31.3170000;32.6200000;30.6640000;32.5000000;2320900
AFKS;D;20110420;000000;33.4990000;33.8800000;32.6060000;33.1800000;4177600
AFKS;D;20110421;000000;33.4800000;34.0010000;32.2800000;32.5010000;2047000
AFKS;D;20110422;000000;32.2800000;33.3800000;32.2800000;33.0000000;309000
AFKS;D;20110425;000000;33.1900000;33.4490000;32.0100000;32.2300000;392800
AFKS;D;20110426;000000;31.9700000;32.5700000;31.7000000;32.5700000;392900
AFKS;D;20110427;000000;33.1800000;33.1800000;31.8000000;31.9000000;887500
AFKS;D;20110428;000000;32.4160000;32.9710000;31.2010000;32.1840000;838300
AFKS;D;20110429;000000;31.8730000;32.2400000;31.5400000;31.7500000;605000
AFKS;D;20110503;000000;31.7500000;31.7500000;30.1000000;30.7000000;1222900
AFKS;D;20110504;000000;30.1400000;30.6740000;30.0000000;30.1600000;503100
AFKS;D;20110505;000000;30.1640000;30.4370000;29.2550000;29.7980000;309100
AFKS;D;20110506;000000;29.6530000;30.5000000;29.2600000;30.5000000;929300
AFKS;D;20110510;000000;30.4490000;30.7510000;30.4490000;30.6380000;312000
AFKS;D;20110511;000000;30.7480000;31.0990000;30.3320000;30.5000000;263800
AFKS;D;20110512;000000;30.3330000;30.3330000;29.5000000;29.6800000;450900
AFKS;D;20110513;000000;29.7820000;30.2000000;29.6030000;29.7020000;170800
AFKS;D;20110516;000000;29.6960000;29.9940000;29.4570000;29.5660000;132400
AFKS;D;20110517;000000;29.7900000;29.8000000;29.4510000;29.4510000;319300
