<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GMKN;D;20111125;000000;5130.0000000;5170.0000000;5010.0000000;5169.0000000;449251
GMKN;D;20111128;000000;5245.0000000;5370.0000000;5201.0000000;5352.0000000;528361
GMKN;D;20111129;000000;5387.0000000;5419.0000000;5187.0000000;5210.0000000;508962
GMKN;D;20111130;000000;5230.0000000;5470.0000000;5174.0000000;5431.0000000;764930
GMKN;D;20111201;000000;5474.0000000;5572.0000000;5391.0000000;5506.0000000;665634
GMKN;D;20111202;000000;5512.0000000;5585.0000000;5407.0000000;5415.0000000;515576
GMKN;D;20111205;000000;5452.0000000;5569.0000000;5410.0000000;5541.0000000;331252
GMKN;D;20111206;000000;5511.0000000;5620.0000000;5320.0000000;5340.0000000;834905
GMKN;D;20111207;000000;5400.0000000;5450.0000000;5288.0000000;5360.0000000;491649
GMKN;D;20111208;000000;5390.0000000;5490.0000000;5323.0000000;5342.0000000;460469
GMKN;D;20111209;000000;5266.0000000;5270.0000000;5033.0000000;5051.0000000;752114
GMKN;D;20111212;000000;5126.0000000;5182.0000000;4749.0000000;4750.0000000;709922
GMKN;D;20111213;000000;4747.0000000;5009.0000000;4680.0000000;4999.0000000;810123
GMKN;D;20111214;000000;4950.0000000;5124.0000000;4912.0000000;4976.0000000;689161
GMKN;D;20111215;000000;4909.0000000;5080.0000000;4900.0000000;5055.0000000;688645
GMKN;D;20111216;000000;5084.0000000;5117.0000000;4922.0000000;4990.0000000;410940
GMKN;D;20111219;000000;4920.0000000;4970.0000000;4818.0000000;4905.0000000;354349
GMKN;D;20111220;000000;4955.0000000;4959.0000000;4866.0000000;4926.0000000;315007
GMKN;D;20111221;000000;4970.0000000;5064.0000000;4820.0000000;4867.0000000;637539
GMKN;D;20111222;000000;4895.0000000;4905.0000000;4717.0000000;4775.0000000;362978
GMKN;D;20111223;000000;4800.0000000;4811.0000000;4685.0000000;4710.0000000;245239
GMKN;D;20111226;000000;4745.0000000;4771.0000000;4724.0000000;4758.0000000;118566
GMKN;D;20111227;000000;4768.0000000;4780.0000000;4710.0000000;4743.0000000;119674
GMKN;D;20111228;000000;4757.0000000;4801.0000000;4735.0000000;4782.0000000;261889
GMKN;D;20111229;000000;4771.0000000;4935.0000000;4715.0000000;4934.0000000;351426
GMKN;D;20111230;000000;4960.0000000;4986.0000000;4911.0000000;4929.0000000;157922
GMKN;D;20120103;000000;5000.0000000;5045.0000000;4971.0000000;5015.0000000;222255
GMKN;D;20120104;000000;5025.0000000;5030.0000000;4952.0000000;5001.0000000;169797
GMKN;D;20120105;000000;5001.0000000;5017.0000000;4850.0000000;4856.0000000;226737
GMKN;D;20120106;000000;4867.0000000;4919.0000000;4832.0000000;4852.0000000;156462
GMKN;D;20120109;000000;4852.0000000;4945.0000000;4834.0000000;4929.0000000;156744
GMKN;D;20120110;000000;4956.0000000;5227.0000000;4945.0000000;5219.0000000;644746
GMKN;D;20120111;000000;5191.0000000;5319.0000000;5162.0000000;5240.0000000;701886
GMKN;D;20120112;000000;5270.0000000;5417.0000000;5200.0000000;5350.0000000;586767
GMKN;D;20120113;000000;5380.0000000;5435.0000000;5315.0000000;5340.0000000;460199
GMKN;D;20120116;000000;5291.0000000;5371.0000000;5230.0000000;5341.0000000;329044
GMKN;D;20120117;000000;5387.0000000;5489.0000000;5383.0000000;5477.0000000;396137
GMKN;D;20120118;000000;5480.0000000;5487.0000000;5410.0000000;5471.0000000;338575
GMKN;D;20120119;000000;5500.0000000;5521.0000000;5452.0000000;5474.0000000;365281
GMKN;D;20120120;000000;5496.0000000;5500.0000000;5440.0000000;5451.0000000;231810
GMKN;D;20120123;000000;5451.0000000;5575.0000000;5374.0000000;5569.0000000;506642
GMKN;D;20120124;000000;5541.0000000;5608.0000000;5522.0000000;5555.0000000;400083
GMKN;D;20120125;000000;5583.0000000;5700.0000000;5573.0000000;5663.0000000;674812
GMKN;D;20120126;000000;5720.0000000;5804.0000000;5688.0000000;5771.0000000;629576
GMKN;D;20120127;000000;5740.0000000;5857.0000000;5725.0000000;5800.0000000;483067
GMKN;D;20120130;000000;5796.0000000;5825.0000000;5669.0000000;5701.0000000;405083
GMKN;D;20120131;000000;5749.0000000;5840.0000000;5726.0000000;5814.0000000;270987
GMKN;D;20120201;000000;5800.0000000;5894.0000000;5775.0000000;5893.0000000;400984
GMKN;D;20120202;000000;5917.0000000;5918.0000000;5706.0000000;5773.0000000;861400
GMKN;D;20120203;000000;5783.0000000;5878.0000000;5724.0000000;5852.0000000;370683
GMKN;D;20120206;000000;5880.0000000;5898.0000000;5816.0000000;5846.0000000;447237
GMKN;D;20120207;000000;5864.0000000;5915.0000000;5832.0000000;5881.0000000;433585
GMKN;D;20120208;000000;5917.0000000;5970.0000000;5911.0000000;5941.0000000;336509
GMKN;D;20120209;000000;5950.0000000;5998.0000000;5730.0000000;5747.0000000;612788
GMKN;D;20120210;000000;5746.0000000;5746.0000000;5618.0000000;5623.0000000;430324
GMKN;D;20120213;000000;5661.0000000;5840.0000000;5661.0000000;5829.0000000;312992
GMKN;D;20120214;000000;5800.0000000;5909.0000000;5735.0000000;5746.0000000;401183
GMKN;D;20120215;000000;5801.0000000;5870.0000000;5775.0000000;5792.0000000;338972
GMKN;D;20120216;000000;5740.0000000;5749.0000000;5650.0000000;5676.0000000;418343
GMKN;D;20120217;000000;5751.0000000;5773.0000000;5635.0000000;5656.0000000;258617
GMKN;D;20120220;000000;5710.0000000;5783.0000000;5690.0000000;5762.0000000;286414
GMKN;D;20120221;000000;5776.0000000;5789.0000000;5640.0000000;5646.0000000;314947
GMKN;D;20120222;000000;5661.0000000;5696.0000000;5524.0000000;5532.0000000;335213
GMKN;D;20120224;000000;5559.0000000;5748.0000000;5495.0000000;5730.0000000;559800
GMKN;D;20120227;000000;5712.0000000;5849.0000000;5675.0000000;5755.0000000;379411
GMKN;D;20120228;000000;5813.0000000;5825.0000000;5702.0000000;5715.0000000;337018
GMKN;D;20120229;000000;5755.0000000;5821.0000000;5732.0000000;5779.0000000;373946
GMKN;D;20120301;000000;5745.0000000;5760.0000000;5670.0000000;5754.0000000;302293
GMKN;D;20120302;000000;5768.0000000;5894.0000000;5760.0000000;5880.0000000;579249
GMKN;D;20120305;000000;5892.0000000;6000.0000000;5885.0000000;5932.0000000;445477
GMKN;D;20120306;000000;5901.0000000;5910.0000000;5602.0000000;5661.0000000;538389
GMKN;D;20120307;000000;5630.0000000;5719.0000000;5562.0000000;5666.0000000;402784
GMKN;D;20120311;000000;5751.0000000;5800.0000000;5730.0000000;5795.0000000;145754
GMKN;D;20120312;000000;5766.0000000;5839.0000000;5712.0000000;5740.0000000;377324
GMKN;D;20120313;000000;5791.0000000;5824.0000000;5736.0000000;5784.0000000;296966
GMKN;D;20120314;000000;5850.0000000;5920.0000000;5824.0000000;5908.0000000;406601
GMKN;D;20120315;000000;5889.0000000;5935.0000000;5850.0000000;5875.0000000;489300
GMKN;D;20120316;000000;5895.0000000;5897.0000000;5770.0000000;5808.0000000;220464
GMKN;D;20120319;000000;5828.0000000;5840.0000000;5702.0000000;5755.0000000;274165
GMKN;D;20120320;000000;5755.0000000;5776.0000000;5515.0000000;5523.0000000;502803
GMKN;D;20120321;000000;5527.0000000;5529.0000000;5325.0000000;5360.0000000;714492
GMKN;D;20120322;000000;5335.0000000;5425.0000000;5271.0000000;5384.0000000;554813
GMKN;D;20120323;000000;5415.0000000;5419.0000000;5300.0000000;5362.0000000;349196
GMKN;D;20120326;000000;5401.0000000;5470.0000000;5362.0000000;5366.0000000;378058
GMKN;D;20120327;000000;5398.0000000;5434.0000000;5253.0000000;5423.0000000;433623
GMKN;D;20120328;000000;5400.0000000;5450.0000000;5355.0000000;5391.0000000;586401
GMKN;D;20120329;000000;5388.0000000;5450.0000000;5315.0000000;5352.0000000;409772
GMKN;D;20120330;000000;5388.0000000;5496.0000000;5380.0000000;5400.0000000;501363
GMKN;D;20120402;000000;5446.0000000;5460.0000000;5312.0000000;5390.0000000;290100
GMKN;D;20120403;000000;5435.0000000;5528.0000000;5383.0000000;5500.0000000;384309
GMKN;D;20120404;000000;5448.0000000;5489.0000000;5315.0000000;5340.0000000;370846
GMKN;D;20120405;000000;5359.0000000;5423.0000000;5257.0000000;5394.0000000;358504
GMKN;D;20120406;000000;5405.0000000;5417.0000000;5305.0000000;5322.0000000;227167
GMKN;D;20120409;000000;5310.0000000;5368.0000000;5232.0000000;5345.0000000;302654
GMKN;D;20120410;000000;5330.0000000;5385.0000000;5270.0000000;5281.0000000;267197
GMKN;D;20120411;000000;5254.0000000;5335.0000000;5226.0000000;5262.0000000;321964
GMKN;D;20120412;000000;5290.0000000;5293.0000000;5174.0000000;5239.0000000;326303
GMKN;D;20120413;000000;5279.0000000;5315.0000000;5211.0000000;5235.0000000;223366
GMKN;D;20120416;000000;5210.0000000;5248.0000000;5077.0000000;5093.0000000;247905
GMKN;D;20120417;000000;5101.0000000;5119.0000000;5035.0000000;5070.0000000;330864
GMKN;D;20120418;000000;5111.0000000;5199.0000000;5075.0000000;5105.0000000;223512
GMKN;D;20120419;000000;5109.0000000;5267.0000000;5108.0000000;5259.0000000;384297
GMKN;D;20120420;000000;5222.0000000;5347.0000000;5215.0000000;5335.0000000;249953
GMKN;D;20120423;000000;5310.0000000;5330.0000000;5125.0000000;5141.0000000;266255
GMKN;D;20120424;000000;5160.0000000;5185.0000000;5079.0000000;5125.0000000;347682
GMKN;D;20120425;000000;5175.0000000;5175.0000000;5085.0000000;5097.0000000;206652
GMKN;D;20120426;000000;5124.0000000;5150.0000000;5042.0000000;5085.0000000;263624
GMKN;D;20120427;000000;5085.0000000;5205.0000000;5056.0000000;5185.0000000;250286
GMKN;D;20120428;000000;5200.0000000;5235.0000000;5176.0000000;5208.0000000;104296
GMKN;D;20120502;000000;5231.0000000;5274.0000000;5156.0000000;5171.0000000;187962
GMKN;D;20120503;000000;5177.0000000;5229.0000000;5120.0000000;5162.0000000;149956
GMKN;D;20120504;000000;5150.0000000;5155.0000000;4890.0000000;4933.0000000;338964
GMKN;D;20120505;000000;4906.0000000;4997.0000000;4902.0000000;4904.0000000;84999
GMKN;D;20120507;000000;4850.0000000;4962.0000000;4780.0000000;4916.0000000;118877
GMKN;D;20120508;000000;4924.0000000;4990.0000000;4890.0000000;4940.0000000;145246
GMKN;D;20120510;000000;4924.0000000;5053.0000000;4920.0000000;5001.0000000;365275
GMKN;D;20120511;000000;4958.0000000;5003.0000000;4905.0000000;5003.0000000;252338
GMKN;D;20120512;000000;4980.0000000;5025.0000000;4961.0000000;5018.0000000;51876
GMKN;D;20120514;000000;4966.0000000;5009.0000000;4860.0000000;4900.0000000;337840
GMKN;D;20120515;000000;4898.0000000;4994.0000000;4847.0000000;4925.0000000;286453
GMKN;D;20120516;000000;4873.0000000;5110.0000000;4820.0000000;5070.0000000;451598
GMKN;D;20120517;000000;5075.0000000;5147.0000000;4920.0000000;4933.0000000;464022
GMKN;D;20120518;000000;4848.0000000;5025.0000000;4750.0000000;4957.0000000;408425
GMKN;D;20120521;000000;4978.0000000;5050.0000000;4887.0000000;5041.0000000;202360
GMKN;D;20120522;000000;5070.0000000;5073.0000000;4950.0000000;4992.0000000;256641
GMKN;D;20120523;000000;4943.0000000;4972.0000000;4816.0000000;4893.0000000;296969
GMKN;D;20120524;000000;4930.0000000;4947.0000000;4791.0000000;4901.0000000;283376
GMKN;D;20120525;000000;4751.0000000;4818.0000000;4725.0000000;4778.0000000;250916
GMKN;D;20120528;000000;4811.0000000;4847.0000000;4756.0000000;4781.0000000;126642
GMKN;D;20120529;000000;4811.0000000;4939.0000000;4802.0000000;4923.0000000;244044
GMKN;D;20120530;000000;4900.0000000;4913.0000000;4825.0000000;4865.0000000;255509
GMKN;D;20120531;000000;4861.0000000;4996.0000000;4861.0000000;4928.0000000;350537
GMKN;D;20120601;000000;4940.0000000;5010.0000000;4751.0000000;4843.0000000;322322
GMKN;D;20120604;000000;4767.0000000;4980.0000000;4706.0000000;4910.0000000;316596
GMKN;D;20120605;000000;4967.0000000;4991.0000000;4851.0000000;4880.0000000;179518
GMKN;D;20120606;000000;4927.0000000;4940.0000000;4855.0000000;4901.0000000;215430
GMKN;D;20120607;000000;4938.0000000;5100.0000000;4857.0000000;5081.0000000;402754
GMKN;D;20120608;000000;5040.0000000;5095.0000000;4977.0000000;5020.0000000;285751
GMKN;D;20120609;000000;5055.0000000;5087.0000000;5035.0000000;5057.0000000;53628
GMKN;D;20120613;000000;5076.0000000;5140.0000000;5002.0000000;5037.0000000;208831
GMKN;D;20120614;000000;5025.0000000;5120.0000000;5005.0000000;5117.0000000;148619
GMKN;D;20120615;000000;5136.0000000;5250.0000000;5110.0000000;5223.0000000;426492
